id,npc,tipo,closeness,deseo,confianza,compromiso,regimen,marco,dificultad,ultimo_cambio,hitos,notas
komori-001,Kinoko Komori (Mushroom),romántico,0,latente,baja,ninguno,volátil,—,4,2026-06-29,,Potencial abierta. 1-B.
camie-001,Camie Utsushimi,romántico,0,latente,baja,ninguno,volátil,—,4,2026-06-29,,Potencial abierta. Shiketsu.
saiko-001,Saiko Intelli,romántico,0,latente,baja,ninguno,volátil,—,5,2026-06-29,,Potencial abierta. Seijin.
habuko-001,Habuko Mongoose,romántico,0,latente,baja,ninguno,volátil,—,4,2026-06-29,,Potencial abierta. Ketsubutsu.
msjoke-001,Emi Fukukado (Ms. Joke),romántico,0,latente,baja,ninguno,volátil,—,5,2026-06-29,,Potencial abierta. Profesora. Tabú.
mirko-001,Mirko (Usagiyama Rumi),romántico,0,latente,baja,ninguno,volátil,—,5,2026-06-29,,Potencial abierta. Pro-hero top.
ryukyu-001,Ryukyu (Tatsumi Ryuko),romántico,0,latente,baja,ninguno,volátil,—,6,2026-06-29,,Potencial abierta. Pro-hero.
mtlady-001,Mt. Lady (Yu Takeyama),romántico,0,latente,baja,ninguno,volátil,—,4,2026-06-29,,Potencial abierta. Pro-hero.
burnin-001,Burnin,romántico,0,latente,baja,ninguno,volátil,—,4,2026-06-29,,Potencial abierta. Endeavor Agency.
pixie-001,Pixie-Bob,romántico,0,latente,baja,ninguno,volátil,—,4,2026-06-29,,Potencial abierta. Pussycats.
tiger-001,Tiger,romántico,0,latente,baja,ninguno,volátil,—,5,2026-06-29,,Potencial abierta. Pussycats.
mandalay-001,Mandalay,romántico,0,latente,baja,ninguno,volátil,—,5,2026-06-29,,Potencial abierta. Pussycats, telépata.
mei-001,Mei Hatsume,romántico,0,latente,baja,ninguno,volátil,—,4,2026-06-29,,Potencial abierta. Support.
inko-001,Inko Midoriya,romántico,0,latente,baja,ninguno,volátil,—,5,2026-06-29,,Potencial declarada (tabú). Madre de Izuku. No parentesco.
fuyumi-001,Fuyumi Todoroki,romántico,0,latente,baja,ninguno,volátil,—,5,2026-06-29,,Potencial abierta. Hermana de Shōto. No parentesco.
toga-001,Toga Himiko,romántico,0,latente,baja,ninguno,volátil,sombra-secreto,8,2026-06-29,,Línea/velo sí-a-todo. Único límite: consentimiento del PC. Villana. Sin contacto.
bubblegirl-001,Kaoruko Awata (Bubble Girl),romántico,0,latente,baja,ninguno,volátil,—,4,2026-07-03,,"Potencial abierta. Sidekick de la agencia de Sir Nighteye (agencia AÚN no introducida en campaña). Quirk: Bubble (burbujas con aromas que ella haya olido). Alegre, expresiva, sufridora del rigor de Nighteye. Adulta (pro sidekick). Gancho natural: prácticas/internados del Arco 2 o incidente urbano."
